"Mean","SD","p2.5","p5","p25","p50","p75","p95","p97.5","Site","Year","Source"
0.732,0.019,0.694,0.701,0.719,0.732,0.745,0.764,0.77,"FRCH","2015","ppt/snow"
0.096,0.024,0.05,0.056,0.079,0.095,0.112,0.135,0.143,"FRCH","2015","soil_water"
0.172,0.018,0.138,0.143,0.16,0.171,0.184,0.203,0.21,"FRCH","2015","well"
0.774,0.018,0.735,0.743,0.763,0.775,0.786,0.8,0.805,"FRCH","2018","ppt/snow"
0.01,0.011,0.001,0.001,0.003,0.007,0.014,0.034,0.042,"FRCH","2018","soil_water"
0.216,0.017,0.185,0.189,0.204,0.215,0.226,0.247,0.254,"FRCH","2018","well"
0.761,0.019,0.719,0.727,0.748,0.762,0.774,0.79,0.795,"FRCH","2019","ppt/snow"
0.005,0.008,0,0,0.001,0.002,0.005,0.019,0.03,"FRCH","2019","soil_water"
0.234,0.019,0.201,0.206,0.221,0.233,0.246,0.268,0.275,"FRCH","2019","well"
0.771,0.017,0.736,0.742,0.76,0.772,0.783,0.798,0.802,"FRCH","2020","ppt/snow"
0.045,0.015,0.017,0.021,0.034,0.044,0.055,0.071,0.076,"FRCH","2020","soil_water"
0.184,0.016,0.155,0.159,0.173,0.184,0.195,0.213,0.219,"FRCH","2020","well"
0.659,0.021,0.618,0.624,0.646,0.66,0.674,0.692,0.698,"FRCH","2021","ppt/snow"
0.126,0.02,0.089,0.094,0.112,0.125,0.139,0.16,0.166,"FRCH","2021","soil_water"
0.215,0.02,0.179,0.185,0.201,0.214,0.227,0.248,0.256,"FRCH","2021","well"
0.693,0.019,0.652,0.659,0.68,0.693,0.706,0.723,0.728,"FRCH","2022","ppt/snow"
0.082,0.016,0.052,0.057,0.071,0.082,0.092,0.108,0.114,"FRCH","2022","soil_water"
0.226,0.019,0.192,0.196,0.212,0.224,0.238,0.258,0.266,"FRCH","2022","well"
0.705,0.016,0.673,0.678,0.694,0.705,0.716,0.731,0.736,"MOOS","2015","ppt/snow"
0.171,0.021,0.131,0.138,0.157,0.171,0.185,0.205,0.213,"MOOS","2015","soil_water"
0.124,0.015,0.095,0.1,0.114,0.124,0.134,0.15,0.156,"MOOS","2015","well"
0.728,0.016,0.696,0.702,0.718,0.729,0.739,0.754,0.758,"MOOS","2018","ppt/snow"
0.116,0.018,0.082,0.087,0.104,0.116,0.128,0.145,0.151,"MOOS","2018","soil_water"
0.156,0.016,0.127,0.131,0.145,0.155,0.165,0.182,0.188,"MOOS","2018","well"
0.73,0.018,0.695,0.7,0.718,0.73,0.742,0.759,0.764,"MOOS","2019","ppt/snow"
0.125,0.021,0.085,0.091,0.111,0.125,0.14,0.16,0.167,"MOOS","2019","soil_water"
0.145,0.017,0.113,0.118,0.133,0.144,0.155,0.173,0.18,"MOOS","2019","well"
0.726,0.015,0.696,0.7,0.716,0.727,0.736,0.751,0.756,"MOOS","2020","ppt/snow"
0.139,0.016,0.107,0.112,0.128,0.139,0.15,0.166,0.172,"MOOS","2020","soil_water"
0.135,0.014,0.108,0.112,0.125,0.134,0.144,0.159,0.165,"MOOS","2020","well"
0.671,0.017,0.638,0.643,0.66,0.672,0.683,0.699,0.704,"MOOS","2021","ppt/snow"
0.186,0.019,0.149,0.155,0.173,0.186,0.199,0.219,0.225,"MOOS","2021","soil_water"
0.143,0.016,0.114,0.118,0.132,0.142,0.153,0.17,0.175,"MOOS","2021","well"
0.621,0.019,0.582,0.589,0.609,0.622,0.634,0.651,0.657,"MOOS","2022","ppt/snow"
0.198,0.019,0.163,0.168,0.185,0.198,0.211,0.23,0.236,"MOOS","2022","soil_water"
0.181,0.018,0.148,0.152,0.168,0.18,0.193,0.212,0.219,"MOOS","2022","well"
0.725,0.021,0.68,0.688,0.711,0.726,0.74,0.758,0.763,"POKE","2019","ppt/snow"
0.018,0.015,0,0.001,0.005,0.015,0.027,0.048,0.055,"POKE","2019","soil_water"
0.257,0.021,0.219,0.225,0.242,0.256,0.27,0.294,0.303,"POKE","2019","well"
0.76,0.018,0.722,0.729,0.749,0.762,0.773,0.788,0.793,"POKE","2020","ppt/snow"
0.017,0.011,0.001,0.002,0.008,0.014,0.023,0.038,0.044,"POKE","2020","soil_water"
0.223,0.018,0.191,0.196,0.21,0.222,0.235,0.255,0.261,"POKE","2020","well"
0.73,0.022,0.683,0.691,0.717,0.732,0.745,0.762,0.768,"POKE","2021","ppt/snow"
0.009,0.013,0,0,0.002,0.004,0.01,0.039,0.051,"POKE","2021","soil_water"
0.261,0.021,0.223,0.229,0.246,0.26,0.274,0.299,0.308,"POKE","2021","well"
0.696,0.022,0.65,0.658,0.682,0.696,0.711,0.73,0.736,"POKE","2022","ppt/snow"
0.048,0.019,0.01,0.016,0.035,0.048,0.061,0.079,0.086,"POKE","2022","soil_water"
0.257,0.022,0.218,0.223,0.242,0.256,0.27,0.294,0.303,"POKE","2022","well"
0.641,0.032,0.575,0.586,0.62,0.644,0.664,0.69,0.698,"STRT","2019","ppt/snow"
0.034,0.025,0.001,0.003,0.014,0.029,0.049,0.082,0.095,"STRT","2019","soil_water"
0.324,0.031,0.268,0.277,0.303,0.323,0.343,0.378,0.389,"STRT","2019","well"
0.66,0.024,0.61,0.619,0.645,0.661,0.676,0.697,0.703,"STRT","2020","ppt/snow"
0.053,0.016,0.021,0.027,0.042,0.053,0.064,0.08,0.085,"STRT","2020","soil_water"
0.287,0.024,0.245,0.25,0.27,0.286,0.301,0.329,0.339,"STRT","2020","well"
0.566,0.03,0.503,0.515,0.547,0.568,0.588,0.613,0.621,"STRT","2021","ppt/snow"
0.11,0.025,0.067,0.073,0.092,0.108,0.125,0.153,0.163,"STRT","2021","soil_water"
0.324,0.03,0.271,0.279,0.303,0.322,0.342,0.377,0.388,"STRT","2021","well"
0.546,0.031,0.478,0.491,0.526,0.548,0.568,0.594,0.602,"STRT","2022","ppt/snow"
0.073,0.019,0.035,0.041,0.061,0.073,0.085,0.103,0.108,"STRT","2022","soil_water"
0.382,0.032,0.325,0.333,0.359,0.379,0.402,0.437,0.451,"STRT","2022","well"
0.067,0.041,0.011,0.015,0.035,0.059,0.089,0.145,0.164,"VAUL","2019","ppt/snow"
0.109,0.09,0.001,0.002,0.033,0.09,0.169,0.282,0.318,"VAUL","2019","soil_water"
0.824,0.093,0.617,0.654,0.764,0.836,0.895,0.954,0.966,"VAUL","2019","upwelling"
0.656,0.027,0.599,0.609,0.638,0.657,0.674,0.698,0.706,"VAUL","2020","ppt/snow"
0.033,0.023,0.003,0.005,0.015,0.028,0.046,0.076,0.087,"VAUL","2020","soil_water"
0.312,0.027,0.263,0.27,0.293,0.31,0.329,0.357,0.367,"VAUL","2020","upwelling"
0.21,0.044,0.122,0.137,0.181,0.211,0.24,0.282,0.295,"VAUL","2021","ppt/snow"
0.365,0.054,0.257,0.274,0.33,0.367,0.401,0.45,0.466,"VAUL","2021","soil_water"
0.425,0.045,0.347,0.357,0.394,0.421,0.452,0.503,0.523,"VAUL","2021","upwelling"
0.176,0.049,0.083,0.096,0.142,0.175,0.209,0.259,0.275,"VAUL","2022","ppt/snow"
0.127,0.066,0.017,0.026,0.075,0.124,0.174,0.241,0.263,"VAUL","2022","soil_water"
0.697,0.067,0.575,0.592,0.649,0.695,0.743,0.81,0.831,"VAUL","2022","upwelling"
