"Site","Year","Precip_fall_cm","Precip_cm","Prop_fall"
"FRCH","2015",12.4952,28.3448,0.440828652874601
"FRCH","2019",23.04,36.36,0.633663366336634
"FRCH","2020",6.9,35.74,0.19306099608282
"MOOS","2015",7.0088,15.1622,0.462254817902415
"POKE","2018",16.2417,28.4847,0.570190312694183
"POKE","2019",19.9121,24.7635,0.80409069800311
"POKE","2020",11.276,36.6508,0.30766040577559
"POKE","2021",16.7751,25.9445,0.64657634566093
"POKE","2022",8.2154,17.9944,0.456553149868848
"STRT","2020",13.22,42.2,0.313270142180095
"STRT","2021",12.98,18.82,0.689691817215728
"VAUL","2019",13.98,18.96,0.737341772151899
"VAUL","2020",17.98,57.1,0.314886164623468
"VAUL","2021",13.62,29.42,0.462950373895309
"VAUL","2022",8.06,19.24,0.418918918918919
"FRCH","2018",7,16.2,0.432098765432099
"FRCH","2021",13,18.8,0.691489361702128
"FRCH","2022",5.32,12.7,0.418897637795276
"MOOS","2018",7,16.2,0.432098765432099
"MOOS","2019",23,36.4,0.631868131868132
"MOOS","2020",6.9,35.7,0.19327731092437
"MOOS","2021",13,18.8,0.691489361702128
"MOOS","2022",5.32,12.7,0.418897637795276
"STRT","2019",23,36.4,0.631868131868132
"STRT","2022",5.32,12.7,0.418897637795276
