"Site","Day","Q"
"FRCH",2019-04-29,139.62614505212
"FRCH",2019-04-30,151.318092351086
"FRCH",2019-05-01,163.953965555413
"FRCH",2019-05-02,168.413477322806
"FRCH",2019-05-03,173.919648215706
"FRCH",2019-05-04,183.87457541543
"FRCH",2019-05-05,153.666411395729
"FRCH",2019-05-06,156.219290953052
"FRCH",2019-05-07,147.92373836143
"FRCH",2019-05-08,153.674583298332
"FRCH",2019-05-09,145.887229105873
"FRCH",2019-05-10,150.918324754051
"FRCH",2019-05-11,139.926621863664
"FRCH",2019-05-12,126.411196836654
"FRCH",2019-05-13,124.771012040798
"FRCH",2019-05-14,120.046014022647
"FRCH",2019-05-15,121.878351763527
"FRCH",2019-05-16,129.905693393654
"FRCH",2019-05-17,126.701446279812
"FRCH",2019-05-18,130.221924677623
"FRCH",2019-05-19,176.817723454143
"FRCH",2019-05-20,163.201031313226
"FRCH",2019-05-21,142.252454219872
"FRCH",2019-05-22,133.400046279759
"FRCH",2019-05-23,142.617694328481
"FRCH",2019-05-24,132.80871790388
"FRCH",2019-05-25,131.846873309258
"FRCH",2019-05-26,128.477760575607
"FRCH",2019-05-27,120.701461487608
"FRCH",2019-05-28,112.236269905979
"FRCH",2019-05-29,105.310038093107
"FRCH",2019-05-30,106.41936679176
"FRCH",2019-05-31,110.472811745253
"FRCH",2019-06-01,1098.10849240662
"FRCH",2019-06-02,1306.07066412707
"FRCH",2019-06-03,702.706444601471
"FRCH",2019-06-04,447.79726935494
"FRCH",2019-06-05,326.062299581078
"FRCH",2019-06-06,269.40245164269
"FRCH",2019-06-07,231.406093635505
"FRCH",2019-06-08,216.312724891225
"FRCH",2019-06-09,202.510624855057
"FRCH",2019-06-10,190.020038532419
"FRCH",2019-06-11,189.65574483917
"FRCH",2019-06-12,185.78077200934
"FRCH",2019-06-13,168.643601470612
"FRCH",2019-06-14,158.576869684812
"FRCH",2019-06-15,160.041785203476
"FRCH",2019-06-16,206.999809301573
"FRCH",2019-06-17,189.636252864913
"FRCH",2019-06-18,194.709562574657
"FRCH",2019-06-19,265.75936873756
"FRCH",2019-06-20,268.861489158126
"FRCH",2019-06-21,368.074889694893
"FRCH",2019-06-22,304.762472988982
"FRCH",2019-06-23,384.795993580565
"FRCH",2019-06-24,316.738185216073
"FRCH",2019-06-25,247.121925108567
"FRCH",2019-06-26,201.845519570148
"FRCH",2019-06-27,176.850624016707
"FRCH",2019-06-28,168.116520385333
"FRCH",2019-06-29,156.793017883654
"FRCH",2019-06-30,152.710281694674
"FRCH",2019-07-01,152.24275906405
"FRCH",2019-07-02,150.680012086574
"FRCH",2019-07-03,144.367048137406
"FRCH",2019-07-04,139.687174721388
"FRCH",2019-07-05,139.970869836592
"FRCH",2019-07-06,132.901151884129
"FRCH",2019-07-07,132.297608964149
"FRCH",2019-07-08,133.190987652952
"FRCH",2019-07-09,127.600131079836
"FRCH",2019-07-10,123.019223597428
"FRCH",2019-07-11,131.231898805302
"FRCH",2019-07-12,133.971984626109
"FRCH",2019-07-13,181.323370700426
"FRCH",2019-07-14,168.993874985673
"FRCH",2019-07-15,144.89759710848
"FRCH",2019-07-16,144.222162483693
"FRCH",2019-07-17,153.940921934729
"FRCH",2019-07-18,134.871546055337
"FRCH",2019-07-19,138.430552640521
"FRCH",2019-07-20,134.180013024583
"FRCH",2019-07-21,127.464673099827
"FRCH",2019-07-22,116.40352831994
"FRCH",2019-07-23,113.227819410423
"FRCH",2019-07-24,110.582362201957
"FRCH",2019-07-25,105.83832797069
"FRCH",2019-07-26,133.87570131643
"FRCH",2019-07-27,138.065505916108
"FRCH",2019-07-28,153.361887023933
"FRCH",2019-07-29,176.842628087825
"FRCH",2019-07-30,227.978992970924
"FRCH",2019-07-31,221.276283566341
"FRCH",2019-08-01,229.454237829465
"FRCH",2019-08-02,363.908300138483
"FRCH",2019-08-03,680.836067019301
"FRCH",2019-08-04,687.619226366918
"FRCH",2019-08-05,544.981185545469
"FRCH",2019-08-06,843.076068832189
"FRCH",2019-08-07,1626.15564363905
"FRCH",2019-08-08,1057.52512620779
"FRCH",2019-08-09,705.137841968427
"FRCH",2019-08-10,562.173961323596
"FRCH",2019-08-11,471.791148305806
