"Day","Site","Q"
2021-05-04,"FRCH",NA
2021-05-04,"MOOS",NA
2021-05-04,"STRT",NA
2021-05-05,"FRCH",NA
2021-05-05,"MOOS",NA
2021-05-05,"STRT",NA
2021-05-06,"FRCH",NA
2021-05-06,"MOOS",NA
2021-05-06,"POKE",NA
2021-05-06,"STRT",NA
2021-05-07,"FRCH",NA
2021-05-07,"MOOS",NA
2021-05-07,"POKE",NA
2021-05-07,"STRT",NA
2021-05-08,"FRCH",NA
2021-05-08,"MOOS",NA
2021-05-08,"POKE",NA
2021-05-08,"STRT",NA
2021-05-09,"FRCH",NA
2021-05-09,"MOOS",NA
2021-05-09,"POKE",NA
2021-05-09,"STRT",NA
2021-05-10,"FRCH",NA
2021-05-10,"MOOS",NA
2021-05-10,"POKE",NA
2021-05-10,"STRT",NA
2021-05-10,"VAUL",NA
2021-05-11,"FRCH",NA
2021-05-11,"MOOS",NA
2021-05-11,"POKE",789.859186062742
2021-05-11,"STRT",NA
2021-05-11,"VAUL",NA
2021-05-12,"FRCH",NA
2021-05-12,"MOOS",NA
2021-05-12,"POKE",745.932206209154
2021-05-12,"STRT",NA
2021-05-12,"VAUL",NA
2021-05-13,"FRCH",NA
2021-05-13,"MOOS",NA
2021-05-13,"POKE",690.030556892772
2021-05-13,"STRT",NA
2021-05-13,"VAUL",NA
2021-05-14,"FRCH",NA
2021-05-14,"MOOS",NA
2021-05-14,"POKE",640.62263380248
2021-05-14,"STRT",NA
2021-05-14,"VAUL",NA
2021-05-15,"FRCH",NA
2021-05-15,"MOOS",NA
2021-05-15,"POKE",644.078011060411
2021-05-15,"STRT",NA
2021-05-15,"VAUL",NA
2021-05-16,"FRCH",NA
2021-05-16,"MOOS",NA
2021-05-16,"POKE",660.858435100317
2021-05-16,"STRT",NA
2021-05-16,"VAUL",NA
2021-05-17,"FRCH",NA
2021-05-17,"MOOS",NA
2021-05-17,"POKE",762.116875549424
2021-05-17,"STRT",NA
2021-05-17,"VAUL",NA
2021-05-18,"FRCH",NA
2021-05-18,"MOOS",NA
2021-05-18,"POKE",666.696831156803
2021-05-18,"STRT",NA
2021-05-18,"VAUL",NA
2021-05-19,"FRCH",NA
2021-05-19,"MOOS",NA
2021-05-19,"POKE",600.250323656769
2021-05-19,"STRT",NA
2021-05-19,"VAUL",NA
2021-05-20,"FRCH",NA
2021-05-20,"MOOS",NA
2021-05-20,"POKE",649.4083052235
2021-05-20,"STRT",1017.45413574379
2021-05-20,"VAUL",NA
2021-05-21,"FRCH",NA
2021-05-21,"MOOS",NA
2021-05-21,"POKE",608.725847650898
2021-05-21,"STRT",965.25080742232
2021-05-21,"VAUL",NA
2021-05-22,"FRCH",NA
2021-05-22,"MOOS",NA
2021-05-22,"POKE",554.782924631335
2021-05-22,"STRT",921.319133236294
2021-05-22,"VAUL",NA
2021-05-23,"FRCH",NA
2021-05-23,"MOOS",NA
2021-05-23,"POKE",519.113235105336
2021-05-23,"STRT",930.824970687194
2021-05-23,"VAUL",NA
2021-05-24,"FRCH",NA
2021-05-24,"MOOS",NA
2021-05-24,"POKE",483.954109159699
2021-05-24,"STRT",910.369038714134
2021-05-24,"VAUL",NA
2021-05-25,"FRCH",NA
2021-05-25,"MOOS",NA
2021-05-25,"POKE",469.223613846755
2021-05-25,"STRT",901.545940969664
2021-05-25,"VAUL",NA
2021-05-26,"FRCH",NA
2021-05-26,"MOOS",NA
2021-05-26,"POKE",442.473891833937
2021-05-26,"STRT",866.542401406028
2021-05-26,"VAUL",NA
2021-05-27,"FRCH",NA
2021-05-27,"MOOS",NA
2021-05-27,"POKE",452.30493007689
2021-05-27,"STRT",856.537638785064
2021-05-27,"VAUL",NA
2021-05-28,"FRCH",NA
2021-05-28,"MOOS",NA
2021-05-28,"POKE",470.586090533198
2021-05-28,"STRT",851.889756937521
2021-05-28,"VAUL",NA
2021-05-29,"FRCH",NA
2021-05-29,"MOOS",NA
2021-05-29,"POKE",452.093913637221
2021-05-29,"STRT",835.293930227681
2021-05-29,"VAUL",NA
2021-05-30,"FRCH",NA
2021-05-30,"MOOS",NA
2021-05-30,"POKE",418.762769752164
2021-05-30,"STRT",830.225900868513
2021-05-30,"VAUL",NA
2021-05-31,"FRCH",NA
2021-05-31,"MOOS",NA
2021-05-31,"POKE",405.927175159389
2021-05-31,"STRT",820.273656686493
2021-05-31,"VAUL",NA
2021-06-01,"FRCH",NA
2021-06-01,"MOOS",NA
2021-06-01,"POKE",413.28349439313
2021-06-01,"STRT",821.192729368212
2021-06-01,"VAUL",NA
2021-06-02,"FRCH",NA
2021-06-02,"MOOS",NA
2021-06-02,"POKE",466.337207136299
2021-06-02,"STRT",824.501391022392
2021-06-02,"VAUL",NA
2021-06-03,"FRCH",NA
2021-06-03,"MOOS",NA
2021-06-03,"POKE",466.868548022068
2021-06-03,"STRT",815.415701083145
2021-06-03,"VAUL",NA
2021-06-04,"FRCH",NA
2021-06-04,"MOOS",NA
2021-06-04,"POKE",422.522866899245
2021-06-04,"STRT",790.626997896296
2021-06-04,"VAUL",NA
2021-06-05,"FRCH",NA
2021-06-05,"MOOS",NA
2021-06-05,"POKE",429.565956145687
2021-06-05,"STRT",789.235259263987
2021-06-05,"VAUL",NA
2021-06-06,"FRCH",NA
2021-06-06,"MOOS",NA
2021-06-06,"POKE",511.908856534998
2021-06-06,"STRT",772.37684035937
2021-06-06,"VAUL",NA
2021-06-07,"FRCH",NA
2021-06-07,"MOOS",NA
2021-06-07,"POKE",583.060417219004
2021-06-07,"STRT",769.619622314225
2021-06-07,"VAUL",NA
2021-06-08,"FRCH",NA
2021-06-08,"MOOS",NA
2021-06-08,"POKE",553.428125539085
2021-06-08,"STRT",750.581688192958
2021-06-08,"VAUL",NA
2021-06-09,"FRCH",NA
2021-06-09,"MOOS",NA
2021-06-09,"POKE",511.306262803522
2021-06-09,"STRT",762.503373835798
2021-06-09,"VAUL",NA
2021-06-10,"FRCH",NA
2021-06-10,"MOOS",NA
2021-06-10,"POKE",464.029952137766
2021-06-10,"STRT",734.432268214228
2021-06-10,"VAUL",NA
2021-06-11,"FRCH",NA
2021-06-11,"MOOS",NA
2021-06-11,"POKE",446.665536447713
2021-06-11,"STRT",721.696546767597
2021-06-11,"VAUL",NA
2021-06-12,"FRCH",NA
2021-06-12,"MOOS",NA
2021-06-12,"POKE",438.359764252766
2021-06-12,"STRT",729.915682464096
2021-06-12,"VAUL",NA
2021-06-13,"FRCH",NA
2021-06-13,"MOOS",NA
2021-06-13,"POKE",411.341535097682
2021-06-13,"STRT",726.05557720088
2021-06-13,"VAUL",NA
2021-06-14,"FRCH",NA
2021-06-14,"MOOS",NA
2021-06-14,"POKE",451.323591317878
2021-06-14,"STRT",737.583374551542
2021-06-14,"VAUL",NA
2021-06-15,"FRCH",NA
2021-06-15,"MOOS",NA
2021-06-15,"POKE",464.562294642958
2021-06-15,"STRT",718.597958869234
2021-06-15,"VAUL",NA
2021-06-16,"FRCH",NA
2021-06-16,"MOOS",NA
2021-06-16,"POKE",443.206822477851
2021-06-16,"STRT",689.686558224399
2021-06-16,"VAUL",NA
2021-06-17,"FRCH",NA
2021-06-17,"MOOS",NA
2021-06-17,"POKE",429.194069822718
2021-06-17,"STRT",673.195768392473
2021-06-17,"VAUL",NA
2021-06-18,"FRCH",NA
2021-06-18,"MOOS",NA
2021-06-18,"POKE",424.546097785518
2021-06-18,"STRT",687.29696925194
2021-06-18,"VAUL",NA
2021-06-19,"FRCH",NA
2021-06-19,"MOOS",NA
2021-06-19,"POKE",430.822381603439
2021-06-19,"STRT",675.952986437609
2021-06-19,"VAUL",NA
2021-06-20,"FRCH",NA
2021-06-20,"MOOS",NA
2021-06-20,"POKE",511.526707837908
2021-06-20,"STRT",751.920908386319
2021-06-20,"VAUL",NA
2021-06-21,"FRCH",NA
2021-06-21,"MOOS",NA
2021-06-21,"POKE",483.554187377732
2021-06-21,"STRT",716.70729506686
2021-06-21,"VAUL",NA
2021-06-22,"FRCH",NA
2021-06-22,"MOOS",NA
2021-06-22,"POKE",483.65314637968
2021-06-22,"STRT",722.799433985663
2021-06-22,"VAUL",NA
2021-06-23,"FRCH",NA
2021-06-23,"MOOS",NA
2021-06-23,"POKE",NA
2021-06-23,"STRT",708.671973906705
2021-06-23,"VAUL",NA
2021-06-24,"FRCH",NA
2021-06-24,"MOOS",NA
2021-06-24,"POKE",NA
2021-06-24,"STRT",690.238001833427
2021-06-24,"VAUL",NA
2021-06-25,"FRCH",NA
2021-06-25,"MOOS",NA
2021-06-25,"POKE",NA
2021-06-25,"STRT",674.193618732609
2021-06-25,"VAUL",NA
2021-06-26,"FRCH",NA
2021-06-26,"MOOS",NA
2021-06-26,"POKE",NA
2021-06-26,"STRT",649.877581496369
2021-06-26,"VAUL",NA
2021-06-27,"FRCH",NA
2021-06-27,"MOOS",NA
2021-06-27,"POKE",NA
2021-06-27,"STRT",654.420426465991
2021-06-27,"VAUL",NA
2021-06-28,"FRCH",NA
2021-06-28,"MOOS",NA
2021-06-28,"POKE",NA
2021-06-28,"STRT",NA
2021-06-28,"VAUL",NA
2021-06-29,"FRCH",NA
2021-06-29,"MOOS",NA
2021-06-29,"POKE",NA
2021-06-29,"STRT",NA
2021-06-29,"VAUL",NA
2021-06-30,"FRCH",NA
2021-06-30,"MOOS",NA
2021-06-30,"POKE",520.910960208371
2021-06-30,"STRT",NA
2021-06-30,"VAUL",NA
2021-07-01,"FRCH",277.011602153008
2021-07-01,"MOOS",395.733032823349
2021-07-01,"POKE",452.690362409012
2021-07-01,"STRT",NA
2021-07-01,"VAUL",148.811039802994
2021-07-02,"FRCH",272.191865498462
2021-07-02,"MOOS",383.356243571273
2021-07-02,"POKE",NA
2021-07-02,"STRT",NA
2021-07-02,"VAUL",145.118319870352
2021-07-03,"FRCH",266.697078855096
2021-07-03,"MOOS",367.945269602872
2021-07-03,"POKE",NA
2021-07-03,"STRT",NA
2021-07-03,"VAUL",148.335739217605
2021-07-04,"FRCH",261.673253521118
2021-07-04,"MOOS",359.551269852135
2021-07-04,"POKE",NA
2021-07-04,"STRT",NA
2021-07-04,"VAUL",138.176842090314
2021-07-05,"FRCH",257.921780887043
2021-07-05,"MOOS",353.168801610635
2021-07-05,"POKE",NA
2021-07-05,"STRT",NA
2021-07-05,"VAUL",131.898695896479
2021-07-06,"FRCH",258.131668417003
2021-07-06,"MOOS",345.855548126324
2021-07-06,"POKE",NA
2021-07-06,"STRT",NA
2021-07-06,"VAUL",132.562027482685
2021-07-07,"FRCH",273.906926486281
2021-07-07,"MOOS",387.050966980655
2021-07-07,"POKE",559.788338858257
2021-07-07,"STRT",NA
2021-07-07,"VAUL",128.848415216614
2021-07-08,"FRCH",264.407467276784
2021-07-08,"MOOS",373.850163250335
2021-07-08,"POKE",568.763083642074
2021-07-08,"STRT",NA
2021-07-08,"VAUL",129.684108553563
2021-07-09,"FRCH",265.157749099808
2021-07-09,"MOOS",361.991176065345
2021-07-09,"POKE",615.988981551298
2021-07-09,"STRT",NA
2021-07-09,"VAUL",138.855842926581
2021-07-10,"FRCH",261.019658815165
2021-07-10,"MOOS",364.920036433905
2021-07-10,"POKE",NA
2021-07-10,"STRT",NA
2021-07-10,"VAUL",126.889758958139
2021-07-11,"FRCH",253.251462370426
2021-07-11,"MOOS",343.304586894708
2021-07-11,"POKE",NA
2021-07-11,"STRT",NA
2021-07-11,"VAUL",120.68473593129
2021-07-12,"FRCH",249.85022212372
2021-07-12,"MOOS",338.941107223138
2021-07-12,"POKE",NA
2021-07-12,"STRT",NA
2021-07-12,"VAUL",113.346303816199
2021-07-13,"FRCH",245.169264426365
2021-07-13,"MOOS",331.368032949557
2021-07-13,"POKE",NA
2021-07-13,"STRT",NA
2021-07-13,"VAUL",106.974142121951
2021-07-14,"FRCH",239.519013805803
2021-07-14,"MOOS",315.139882732559
2021-07-14,"POKE",382.455644461065
2021-07-14,"STRT",NA
2021-07-14,"VAUL",114.323020403757
2021-07-15,"FRCH",248.518542494353
2021-07-15,"MOOS",349.686043210502
2021-07-15,"POKE",384.471774305673
2021-07-15,"STRT",NA
2021-07-15,"VAUL",110.447492553656
2021-07-16,"FRCH",241.50273020671
2021-07-16,"MOOS",329.125938639101
2021-07-16,"POKE",384.36004460277
2021-07-16,"STRT",NA
2021-07-16,"VAUL",95.9429900742269
2021-07-17,"FRCH",235.319957723036
2021-07-17,"MOOS",319.259581036579
2021-07-17,"POKE",379.051374631283
2021-07-17,"STRT",398.429497246105
2021-07-17,"VAUL",87.8576570392413
2021-07-18,"FRCH",231.092436394382
2021-07-18,"MOOS",314.404700441486
2021-07-18,"POKE",380.570938510026
2021-07-18,"STRT",391.979447071247
2021-07-18,"VAUL",89.4454743794439
2021-07-19,"FRCH",232.474665666192
2021-07-19,"MOOS",319.839790492171
2021-07-19,"POKE",377.559234199357
2021-07-19,"STRT",442.393416245804
2021-07-19,"VAUL",81.0676486765278
2021-07-20,"FRCH",234.116381149668
2021-07-20,"MOOS",321.589513349836
2021-07-20,"POKE",367.709255431551
2021-07-20,"STRT",NA
2021-07-20,"VAUL",80.2737400064244
2021-07-21,"FRCH",226.450087662523
2021-07-21,"MOOS",314.944790138117
2021-07-21,"POKE",369.820819345432
2021-07-21,"STRT",NA
2021-07-21,"VAUL",88.0718034568357
2021-07-22,"FRCH",222.475121154378
2021-07-22,"MOOS",311.243734968375
2021-07-22,"POKE",363.012221473943
2021-07-22,"STRT",NA
2021-07-22,"VAUL",90.0565751320909
2021-07-23,"FRCH",227.181791521052
2021-07-23,"MOOS",361.418893137751
2021-07-23,"POKE",410.189155822905
2021-07-23,"STRT",NA
2021-07-23,"VAUL",97.0659529957536
2021-07-24,"FRCH",258.690279810923
2021-07-24,"MOOS",446.067793106836
2021-07-24,"POKE",497.475068687282
2021-07-24,"STRT",NA
2021-07-24,"VAUL",871.931261182123
2021-07-25,"FRCH",260.575835874377
2021-07-25,"MOOS",442.915738037882
2021-07-25,"POKE",494.566191637026
2021-07-25,"STRT",NA
2021-07-25,"VAUL",745.95571372033
2021-07-26,"FRCH",238.97330577639
2021-07-26,"MOOS",365.541293768415
2021-07-26,"POKE",451.137505605597
2021-07-26,"STRT",NA
2021-07-26,"VAUL",440.290429564306
2021-07-27,"FRCH",226.299121039647
2021-07-27,"MOOS",338.603154826316
2021-07-27,"POKE",433.087790636004
2021-07-27,"STRT",NA
2021-07-27,"VAUL",293.668033596496
2021-07-28,"FRCH",372.245674980952
2021-07-28,"MOOS",520.245640758351
2021-07-28,"POKE",576.840364187526
2021-07-28,"STRT",NA
2021-07-28,"VAUL",315.584091358001
2021-07-29,"FRCH",362.213143905257
2021-07-29,"MOOS",636.856315754162
2021-07-29,"POKE",584.852740578752
2021-07-29,"STRT",700.683750117901
2021-07-29,"VAUL",396.855268376357
2021-07-30,"FRCH",293.166014640077
2021-07-30,"MOOS",471.590245254472
2021-07-30,"POKE",549.065959085763
2021-07-30,"STRT",604.998509572981
2021-07-30,"VAUL",314.367112936067
2021-07-31,"FRCH",265.859066419522
2021-07-31,"MOOS",413.52862331291
2021-07-31,"POKE",506.414340750689
2021-07-31,"STRT",557.048702672402
2021-07-31,"VAUL",242.957117293731
2021-08-01,"FRCH",242.130166193199
2021-08-01,"MOOS",368.569473754624
2021-08-01,"POKE",481.890549068696
2021-08-01,"STRT",526.12109335018
2021-08-01,"VAUL",199.642087022965
2021-08-02,"FRCH",228.910534589997
2021-08-02,"MOOS",344.890053438403
2021-08-02,"POKE",463.056160203349
2021-08-02,"STRT",NA
2021-08-02,"VAUL",168.66397963891
2021-08-03,"FRCH",218.827998743985
2021-08-03,"MOOS",328.278605851387
2021-08-03,"POKE",453.926872048355
2021-08-03,"STRT",NA
2021-08-03,"VAUL",148.884162969985
2021-08-04,"FRCH",208.304511605875
2021-08-04,"MOOS",327.294060379409
2021-08-04,"POKE",448.900392916065
2021-08-04,"STRT",535.21848920213
2021-08-04,"VAUL",139.806444097365
2021-08-05,"FRCH",199.736018712092
2021-08-05,"MOOS",306.472599388846
2021-08-05,"POKE",432.827001905334
2021-08-05,"STRT",596.786588978036
2021-08-05,"VAUL",128.237314463966
2021-08-06,"FRCH",215.94750060697
2021-08-06,"MOOS",356.192422523851
2021-08-06,"POKE",442.455393993219
2021-08-06,"STRT",733.428452626932
2021-08-06,"VAUL",132.102396147359
2021-08-07,"FRCH",272.753794997424
2021-08-07,"MOOS",473.805391062082
2021-08-07,"POKE",461.163623239888
2021-08-07,"STRT",775.321616296811
2021-08-07,"VAUL",149.813871807331
2021-08-08,"FRCH",257.251513312895
2021-08-08,"MOOS",443.264754540111
2021-08-08,"POKE",466.636779539964
2021-08-08,"STRT",790.412373569029
2021-08-08,"VAUL",146.403198375914
2021-08-09,"FRCH",370.959970012786
2021-08-09,"MOOS",619.439255819808
2021-08-09,"POKE",583.264920740965
2021-08-09,"STRT",872.485142167043
2021-08-09,"VAUL",1016.53232389118
2021-08-10,"FRCH",358.713582870041
2021-08-10,"MOOS",757.226501745167
2021-08-10,"POKE",585.773698397682
2021-08-10,"STRT",911.674594683925
2021-08-10,"VAUL",1198.3813593777
2021-08-11,"FRCH",323.242163273015
2021-08-11,"MOOS",655.274629623102
2021-08-11,"POKE",609.755316325704
2021-08-11,"STRT",904.322458363506
2021-08-11,"VAUL",695.244797417554
2021-08-12,"FRCH",290.583180210526
2021-08-12,"MOOS",570.825979258307
2021-08-12,"POKE",591.229958823562
2021-08-12,"STRT",835.975778643852
2021-08-12,"VAUL",459.276337563129
2021-08-13,"FRCH",285.095842559464
2021-08-13,"MOOS",514.427366712278
2021-08-13,"POKE",596.727061088395
2021-08-13,"STRT",816.164454888053
2021-08-13,"VAUL",369.533319341458
2021-08-14,"FRCH",267.021383041405
2021-08-14,"MOOS",481.997734554652
2021-08-14,"POKE",584.52279475379
2021-08-14,"STRT",786.595384046686
2021-08-14,"VAUL",322.462892137765
2021-08-15,"FRCH",265.284169479587
2021-08-15,"MOOS",470.169825861727
2021-08-15,"POKE",630.16553266568
2021-08-15,"STRT",827.753058974587
2021-08-15,"VAUL",279.727624119503
2021-08-16,"FRCH",544.437113336757
2021-08-16,"MOOS",969.093144686595
2021-08-16,"POKE",1002.70109303872
2021-08-16,"STRT",1499.4610727557
2021-08-16,"VAUL",408.398282592965
2021-08-17,"FRCH",660.547292756071
2021-08-17,"MOOS",1393.76752481654
2021-08-17,"POKE",1239.13958047405
2021-08-17,"STRT",1685.17425292602
2021-08-17,"VAUL",933.856137450085
2021-08-18,"FRCH",598.453160777247
2021-08-18,"MOOS",1304.18459581822
2021-08-18,"POKE",1032.68327385793
2021-08-18,"STRT",1547.28831545352
2021-08-18,"VAUL",879.671870715619
2021-08-19,"FRCH",462.842209433928
2021-08-19,"MOOS",956.518230354862
2021-08-19,"POKE",860.855198280729
2021-08-19,"STRT",1312.17181724724
2021-08-19,"VAUL",531.422787958655
2021-08-20,"FRCH",542.969173973538
2021-08-20,"MOOS",972.878772710875
2021-08-20,"POKE",926.448936820908
2021-08-20,"STRT",1310.0008829241
2021-08-20,"VAUL",456.335741633737
2021-08-21,"FRCH",660.701732397859
2021-08-21,"MOOS",1130.09924037135
2021-08-21,"POKE",953.126873697474
2021-08-21,"STRT",1493.08185783726
2021-08-21,"VAUL",525.301334265504
2021-08-22,"FRCH",613.620339522365
2021-08-22,"MOOS",1066.94360525967
2021-08-22,"POKE",864.450864620748
2021-08-22,"STRT",1493.75250817798
2021-08-22,"VAUL",414.169789701277
2021-08-23,"FRCH",509.492903414623
2021-08-23,"MOOS",905.24037148675
2021-08-23,"POKE",821.16802992085
2021-08-23,"STRT",1362.1490615931
2021-08-23,"VAUL",337.719518620456
2021-08-24,"FRCH",491.131867782337
2021-08-24,"MOOS",866.60309787814
2021-08-24,"POKE",862.039504197652
2021-08-24,"STRT",1274.50422885344
2021-08-24,"VAUL",365.020575321934
2021-08-25,"FRCH",577.284995058537
2021-08-25,"MOOS",1056.19591372167
2021-08-25,"POKE",915.278966361553
2021-08-25,"STRT",1408.660259011
2021-08-25,"VAUL",483.895340961328
2021-08-26,"FRCH",633.567806980792
2021-08-26,"MOOS",1202.90709663372
2021-08-26,"POKE",847.745367625409
2021-08-26,"STRT",1487.71313947326
2021-08-26,"VAUL",565.717553273737
2021-08-27,"FRCH",647.113666831815
2021-08-27,"MOOS",1161.84794460237
2021-08-27,"POKE",989.619772805418
2021-08-27,"STRT",1388.26643091161
2021-08-27,"VAUL",603.271522602897
2021-08-28,"FRCH",1066.18050338967
2021-08-28,"MOOS",1556.45536446531
2021-08-28,"POKE",982.489016895908
2021-08-28,"STRT",1440.08686900387
2021-08-28,"VAUL",792.394147837944
2021-08-29,"FRCH",841.851742032617
2021-08-29,"MOOS",1334.66308693038
2021-08-29,"POKE",920.439657450411
2021-08-29,"STRT",1367.22799971359
2021-08-29,"VAUL",568.391771951964
2021-08-30,"FRCH",699.186227345322
2021-08-30,"MOOS",1116.0760711673
2021-08-30,"POKE",900.42644168844
2021-08-30,"STRT",1296.96503392799
2021-08-30,"VAUL",418.995918722158
2021-08-31,"FRCH",649.01288006779
2021-08-31,"MOOS",1034.27501971285
2021-08-31,"POKE",912.256401040094
2021-08-31,"STRT",1271.62101824068
2021-08-31,"VAUL",337.970226621539
2021-09-01,"FRCH",618.231214399772
2021-09-01,"MOOS",965.480216192133
2021-09-01,"POKE",995.546553106014
2021-09-01,"STRT",1242.91395241396
2021-09-01,"VAUL",289.829067329884
2021-09-02,"FRCH",601.544022127713
2021-09-02,"MOOS",907.424379411311
2021-09-02,"POKE",NA
2021-09-02,"STRT",1211.08481635408
2021-09-02,"VAUL",262.016148459537
2021-09-03,"FRCH",600.402087042298
2021-09-03,"MOOS",887.323227986873
2021-09-03,"POKE",NA
2021-09-03,"STRT",1184.66259112361
2021-09-03,"VAUL",242.314678040955
2021-09-04,"FRCH",585.084574974015
