"Site","Year","geweke.chain1","geweke.chain2","geweke.chain3","n","gelman1.05","gelman1.10"
"FRCH","2015",29,36,5,390,0,0
"FRCH","2018",9,2,3,150,0,0
"FRCH","2019",0,41,1,150,0,0
"FRCH","2020",0,1,0,346,0,0
"FRCH","2021",4,0,20,398,0,0
"FRCH","2022",0,48,45,430,0,0
"MOOS","2015",0,16,0,338,0,0
"MOOS","2018",0,2,0,158,0,0
"MOOS","2019",0,34,19,202,0,0
"MOOS","2020",31,4,0,426,0,0
"MOOS","2021",0,0,11,390,0,0
"MOOS","2022",0,22,149,394,0,0
"POKE","2019",7,6,24,174,0,0
"POKE","2020",130,5,0,438,0,0
"POKE","2021",8,0,5,398,0,0
"POKE","2022",0,1,89,458,0,0
"STRT","2019",2,7,0,66,0,0
"STRT","2020",37,10,0,434,0,0
"STRT","2021",1,18,2,382,0,0
"STRT","2022",6,0,11,394,0,0
"VAUL","2019",4,2,45,166,0,0
"VAUL","2020",4,5,51,366,0,0
"VAUL","2021",10,0,3,422,0,0
"VAUL","2022",0,0,87,466,0,0
